Pais;Periodo;PartosAtendidos
Afghanistan;2003;14.3
Afghanistan;2010;34.3
Afghanistan;2015;50.5
Afghanistan;2018;58.8
Albania;2000;99.1
Albania;2002;98.0
Albania;2005;99.8
Algeria;2006;95.2
Andorra;2015;100.0
Andorra;2016;100.0
Andorra;2017;100.0
Anguilla;2010;100.0
Anguilla;2012;100.0
Anguilla;2013;100.0
Anguilla;2014;100.0
Anguilla;2015;98.8
Anguilla;2016;100.0
Anguilla;2017;100.0
Anguilla;2018;100.0
Anguilla;2019;100.0
Anguilla;2020;100.0
Antigua and Barbuda;2000;99.9
Antigua and Barbuda;2001;100.0
Antigua and Barbuda;2003;99.0
Antigua and Barbuda;2004;100.0
Antigua and Barbuda;2005;99.9
Antigua and Barbuda;2006;99.9
Antigua and Barbuda;2007;100.0
Antigua and Barbuda;2008;100.0
Antigua and Barbuda;2009;100.0
Antigua and Barbuda;2010;100.0
Antigua and Barbuda;2012;100.0
Antigua and Barbuda;2013;100.0
Antigua and Barbuda;2014;100.0
Antigua and Barbuda;2015;100.0
Antigua and Barbuda;2017;100.0
Antigua and Barbuda;2020;99.0
Argentina;2000;99.1
Argentina;2001;98.4
Argentina;2002;98.9
Argentina;2003;98.7
Argentina;2004;99.1
Argentina;2005;99.1
Argentina;2006;99.4
Argentina;2007;99.4
Argentina;2008;94.8
Argentina;2009;97.9
Argentina;2010;95.0
Argentina;2011;97.1
Argentina;2012;98.2
Argentina;2013;97.0
Argentina;2014;99.6
Argentina;2015;99.6
Argentina;2016;98.4
Argentina;2017;93.9
Argentina;2018;99.5
Argentina;2019;99.6
Armenia;2000;96.8
Armenia;2001;98.4
Armenia;2002;98.8
Armenia;2003;99.2
Armenia;2004;99.5
Armenia;2005;97.8
Armenia;2006;99.7
Armenia;2007;99.9
Armenia;2008;99.9
Armenia;2009;100.0
Armenia;2010;99.5
Armenia;2011;100.0
Armenia;2012;100.0
Armenia;2013;100.0
Armenia;2014;100.0
Australia;2000;99.3
Australia;2001;99.3
Australia;2002;99.3
Australia;2003;99.3
Australia;2004;99.3
Australia;2005;99.4
Australia;2006;99.3
Australia;2007;99.2
Australia;2008;99.1
Australia;2009;99.1
Australia;2010;99.1
Australia;2011;99.1
Australia;2012;99.2
Australia;2013;99.0
Australia;2014;99.8
Australia;2015;98.8
Australia;2016;98.8
Australia;2017;99.4
Australia;2018;98.7
Australia;2019;98.8
Australia;2020;96.0
Austria;2000;98.3
Austria;2001;98.3
Austria;2002;98.4
Austria;2003;98.4
Austria;2004;98.4
Austria;2005;98.6
Austria;2006;98.6
Austria;2007;98.5
Austria;2008;98.6
Austria;2009;98.6
Austria;2010;98.5
Austria;2011;98.6
Austria;2012;98.5
Austria;2013;98.5
Austria;2014;98.5
Austria;2015;98.5
Austria;2016;98.4
Austria;2017;98.4
Austria;2018;98.4
Austria;2019;98.4
Austria;2020;98.1
Azerbaijan;2000;80.7
Azerbaijan;2001;88.0
Azerbaijan;2002;94.0
Azerbaijan;2003;95.8
Azerbaijan;2004;95.9
Azerbaijan;2005;94.4
