signal_id,label,station_id,duration_seconds,sample_rate_hz,public_reference,proxy_definition,split,sample_index,signal_mean,signal_std
noi_0000,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,0,0.0,1.0
noi_0001,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,1,1.2715657859985184e-08,1.0
noi_0002,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,2,0.0,1.0
noi_0003,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,3,0.0,1.0
noi_0004,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,4,-3.178914464996296e-09,1.0
noi_0005,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,5,1.2715657859985184e-08,1.0
noi_0006,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,6,0.0,1.0
noi_0007,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,7,0.0,1.0
noi_0008,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,8,6.357828929992593e-09,1.0
noi_0009,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,9,0.0,1.0
noi_0010,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,10,0.0,1.0
noi_0011,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,11,2.543131571997037e-08,1.0
noi_0012,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,12,0.0,1.0
noi_0013,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,13,-1.2715657859985184e-08,1.0
noi_0014,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,14,-3.178914464996296e-09,1.0
noi_0015,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,15,-1.2715657859985184e-08,1.0
noi_0016,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,16,-3.178914464996296e-09,1.0
noi_0017,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,17,-1.2715657859985184e-08,1.0
noi_0018,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,18,0.0,0.9999999403953552
noi_0019,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,19,0.0,1.0
noi_0020,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,20,0.0,1.0
noi_0021,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,21,-2.543131571997037e-08,1.0
noi_0022,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,22,0.0,1.0
noi_0023,noise,STA_05,60.0,20.0,proxy_curated_subset,background noise window,test,23,0.0,1.0
noi_0024,noise,STA_06,60.0,20.0,proxy_curated_subset,background noise window,train,24,0.0,1.0
noi_0025,noise,STA_07,60.0,20.0,proxy_curated_subset,background noise window,train,25,0.0,1.0
noi_0026,noise,STA_08,60.0,20.0,proxy_curated_subset,background noise window,test,26,-6.357828929992593e-09,1.0
noi_0027,noise,STA_09,60.0,20.0,proxy_curated_subset,background noise window,train,27,0.0,1.0
noi_0028,noise,STA_10,60.0,20.0,proxy_curated_subset,background noise window,train,28,-3.178914464996296e-09,1.0
noi_0029,noise,STA_11,60.0,20.0,proxy_curated_subset,background noise window,validation,29,-1.2715657859985184e-08,1.0
noi_0030,noise,STA_12,60.0,20.0,proxy_curated_subset,background noise window,train,30,-6.357828929992593e-09,1.0
noi_0031,noise,STA_13,60.0,20.0,proxy_curated_subset,background noise window,validation,31,0.0,1.0
noi_0032,noise,STA_14,60.0,20.0,proxy_curated_subset,background noise window,validation,32,0.0,1.0
noi_0033,noise,STA_15,60.0,20.0,proxy_curated_subset,background noise window,train,33,0.0,1.0
noi_0034,noise,STA_16,60.0,20.0,proxy_curated_subset,background noise window,train,34,1.2715657859985184e-08,0.9999999403953552
noi_0035,noise,STA_17,60.0,20.0,proxy_curated_subset,background noise window,validation,35,-1.2715657859985184e-08,1.0
noi_0036,noise,STA_00,60.0,20.0,proxy_curated_subset,background noise window,test,36,0.0,1.0
noi_0037,noise,STA_01,60.0,20.0,proxy_curated_subset,background noise window,test,37,1.2715657859985184e-08,1.0
noi_0038,noise,STA_02,60.0,20.0,proxy_curated_subset,background noise window,train,38,-1.2715657859985184e-08,1.0
noi_0039,noise,STA_03,60.0,20.0,proxy_curated_subset,background noise window,train,39,0.0,0.9999999403953552
noi_0040,noise,STA_04,60.0,20.0,proxy_curated_subset,background noise window,train,40,-1.2715657859985184e-08,1.0
