horizon_h,model,rmse,mae,smape,pinball_q10,pinball_q50,pinball_q90,interval_coverage_80
1,persistence,61.46719927492403,34.49211788896505,39.601672266988885,,,,
1,hourly_median_train,234.54755272519108,147.32350925291294,65.24807367368103,,,,
1,ridge,37.862914707182924,27.597538675105817,132.34540814216072,,,,
1,hist_gradient_boosting,26.21715292576171,11.650725061145545,124.25650422654735,,,,
1,lightgbm_quantile,26.518706988055918,11.197437207727871,123.97681413961882,3.426814335486948,5.598718603863936,2.6332137493733963,0.7916381082933516
3,persistence,151.2163432097716,91.3173406442769,79.17718207314088,,,,
3,hourly_median_train,289.40189439089556,179.91569568197394,88.70108897509597,,,,
3,ridge,84.01737155579733,69.07586282150048,141.31598948394765,,,,
3,hist_gradient_boosting,47.37552682734506,23.66439899908591,132.10786122281624,,,,
3,lightgbm_quantile,48.710401487710236,22.154129233925858,130.67729456318858,8.091441916029202,11.077064616962929,5.254550701250549,0.6949965729952022
6,persistence,223.37789052176754,152.70322138450993,120.73799832235875,,,,
6,hourly_median_train,374.86814771327187,265.84167237834134,131.68966163719878,,,,
6,ridge,79.8166224501413,62.116267649811434,138.92596241329224,,,,
6,hist_gradient_boosting,59.89583144238185,28.584850505545106,133.86852632165403,,,,
6,lightgbm_quantile,60.61465606400118,27.878939704220382,132.9648758310722,8.23472666621876,13.939469852110191,5.8572638158377535,0.5901302261823167
